Magnitude,B_value,$\sigma_{st-error}$ Aki,$\sigma_{st-error}$ Shi & Bolt 
1.5,0.6862597488788854,0.0016096040687209872,0.0012813499395575199
1.6,0.7070211705231993,0.0017703378666541595,0.0013979982955132212
1.7,0.7295533184160946,0.001953521492726306,0.0015283749870572973
1.8,0.7589443501658026,0.002170877109132741,0.0016955085590799454
1.9,0.797300788436409,0.002433692340509823,0.0019189240402705204
2.0,0.8453791168183765,0.002754584080656306,0.0022197253160838536
2.1,0.9046756419718647,0.0031515678114032394,0.00263264548655842
2.2,0.963177706063051,0.0036211991311984725,0.003130016716089576
2.3,1.0197064600940036,0.004176985535140213,0.0037306663071134875
2.4,1.0707300658433485,0.0048286472231707685,0.004440779596083724
2.5,1.1100432613861009,0.005576206233645475,0.005235880308611173
2.6,1.1387227579468435,0.006431614540447937,0.006122397461365656
2.7,1.1692817409117597,0.007447503331139102,0.007222952772242623
2.8,1.1774228085300729,0.008560867825267382,0.008315845452849925
2.9,1.1909190425009526,0.009874733343076356,0.00966169099959066
3.0,1.2101693792756678,0.011438089976783543,0.011358006523489861
3.1,1.2213972645693272,0.0132284740339376,0.013290426257997975
3.2,1.2335520695516604,0.01532510632341326,0.015646652852114397
3.3,1.2414935550073698,0.017744677932220992,0.0184314055683729
3.4,1.2157816628704627,0.020251779849242188,0.020883357035557798
3.5,1.2000242263115297,0.023145969769442068,0.023835786130374122
3.6,1.187678082840255,0.026445135284166536,0.027259455424219824
3.7,1.1826077433697137,0.030273556999354887,0.031445701146132446
3.8,1.1626621215959605,0.03438986006165749,0.03557923895070598
3.9,1.1488990580661351,0.03908633969758685,0.04044015459462944
4.0,1.1368602558999785,0.04438693572638575,0.045985889138028306
4.1,1.0882605203982265,0.04941536470139624,0.04944016222551625
4.2,1.0623444734656868,0.05530344428090225,0.05399328215121829
4.3,1.0558451190701783,0.06232456676004171,0.06015625157683571
4.4,1.0097697318740935,0.06870612779995866,0.06238630571484305
4.5,1.0295264284900025,0.07804819712510466,0.07071963293750179
4.6,1.0201044825361334,0.087473237726239,0.07619967834096338
4.7,1.0690325708387785,0.10101408306669456,0.08975479980630253
4.8,1.1179857949984637,0.11719675565673886,0.1063813609374744
4.9,1.1315562647754462,0.1342910220249847,0.12019532192034937
5.0,1.163659855817322,0.1555005891146851,0.13927996317922425
5.1,1.1094126952045655,0.17326115409707452,0.1401454007790135
5.2,1.1604629880815587,0.20201067678858264,0.1612083345525722
5.3,1.3615718892101962,0.2528375524192548,0.23094477436135974
5.4,1.426041582368886,0.3040330869139347,0.2849349538192963
5.5,1.3431788100100612,0.34680727747651086,0.2933206148246375
5.6,1.4890096522397236,0.42984006177327777,0.38926568762153957
5.7,1.3897423420904098,0.4913481170971017,0.3841314023772952
5.8,2.043738738368249,0.722570760436914,0.8307340016810012
5.9,1.5792526614663733,0.7896263307331867,0.7543093629148651
6.0,1.7371779276130073,1.0029601441376461,1.0602415843053512
6.1,1.7371779276130073,1.2283702927427507,1.3881820900054795
